Tanggal,Bawang Merah,Bawang Putih,Cabai Merah Keriting,Cabai Rawit Merah,Daging Sapi,Daging Ayam,Telur Ayam,Beras,Minyak Goreng
5/1/2021,31551,26561,46211,62040,126194,37589,24425,11316,14082
5/2/2021,31888,26824,44409,61735,126269,37411,24628,11304,14073
5/3/2021,31503,26541,45174,60854,126498,37406,24453,11311,14020
5/4/2021,31695,26640,42587,61318,125458,37388,24546,11327,13976
5/5/2021,31638,26624,44671,62252,126315,37443,24686,11272,14124
5/6/2021,31507,26886,41639,62577,125884,37493,24510,11279,14102
5/7/2021,31121,26505,42346,61201,126427,37341,24472,11264,14082
5/8/2021,31670,26628,44294,59032,125445,37425,24336,11298,14029
5/9/2021,31509,26511,46332,61151,126663,37468,24462,11279,14018
5/10/2021,31700,26711,43845,57170,125909,37527,24705,11297,14091
5/11/2021,31344,26705,44625,57635,125968,37460,24412,11261,14187
5/12/2021,31536,26761,43078,57793,125636,37422,24189,11275,14005
5/13/2021,31809,26398,44154,58764,126711,37459,24380,11332,14062
5/14/2021,31329,26764,43891,59765,125647,37261,24224,11335,13990
5/15/2021,32081,26905,43356,54352,127329,37305,24646,11284,14051
5/16/2021,31444,26562,41424,57661,126275,37240,24491,11348,14230
5/17/2021,31890,26789,44224,57484,125554,37395,24705,11321,14025
5/18/2021,31556,26869,42603,57669,125421,37280,24406,11293,14198
5/19/2021,31611,26471,39564,52756,126732,37312,24251,11302,14192
5/20/2021,31721,27062,42446,51913,127237,37321,24526,11339,14080
5/21/2021,31625,26710,42948,57738,125540,37329,24191,11348,13959
5/22/2021,31783,26728,43306,55289,127120,37335,24537,11316,14025
5/23/2021,31294,27238,44278,55117,125955,37320,24679,11322,14193
5/24/2021,31790,26936,45026,53080,126192,37286,24555,11346,14164
5/25/2021,32441,26757,45606,53403,127008,37281,24289,11282,14171
5/26/2021,31396,26772,44332,53012,126365,37328,24502,11343,14093
5/27/2021,31956,26901,46397,58652,126111,37287,24235,11335,14153
5/28/2021,31874,27089,43120,55542,126712,37266,24371,11332,14269
5/29/2021,31520,27015,44188,54779,126959,37277,24342,11332,14255
5/30/2021,31943,26940,42920,57389,126021,37444,24673,11331,14250
5/31/2021,31122,26791,44912,54622,127041,37165,24493,11329,14272
